"","data","valore"
"183","2019/10/16",0.966666666666667
"184","2019/10/17",2.26666666666667
"185","2019/10/18",2.16666666666667
"186","2019/10/21",0.7
"187","2019/10/22",0.766666666666667
"188","2019/10/23",1.805
"189","2019/10/24",2.83333333333333
"190","2019/10/25",1.26666666666667
"191","2019/10/28",2.93333333333333
"192","2019/10/29",2.5
"193","2019/10/30",1.56666666666667
"194","2019/10/31",1.5
"195","2019/11/04",1.16666666666667
"196","2019/11/05",2.66666666666667
"197","2019/11/06",2.1
"198","2019/11/07",2.1
"199","2019/11/08",2.5
"200","2019/11/11",1.86666666666667
"201","2019/11/12",2.16666666666667
"202","2019/11/13",1.26666666666667
"203","2019/11/14",1.66666666666667
"204","2019/11/15",2
"205","2019/11/18",1
"206","2019/11/19",1.63333333333333
"207","2019/11/20",1.46666666666667
"208","2019/11/21",1.43333333333333
"209","2019/11/22",1.5
"210","2019/11/25",0.9
"211","2019/11/26",1.6
"212","2019/11/27",2.96666666666667
"213","2019/11/28",2.3
"214","2019/11/29",2.03333333333333
"215","2019/12/02",1.43333333333333
"216","2019/12/03",1.63333333333333
"217","2019/12/04",1.7
"218","2019/12/05",1.23333333333333
"219","2019/12/06",3.56666666666667
"220","2019/12/09",2.55
"221","2019/12/10",2.83333333333333
"222","2019/12/11",1.9
"223","2019/12/12",2.9
"224","2019/12/13",1.8
"225","2019/12/16",2.45
"226","2019/12/17",3.35
"227","2019/12/19",3.9
"228","2019/12/20",2.76666666666667
"229","2019/12/23",1.16666666666667
"230","2019/12/24",1.2
"231","2019/12/30",2.93333333333333
"232","2019/12/31",1.6
